"distance","structure","question","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__"
137.171717171717,"elliptical",NA,NA,"1","elliptical",137.171717171717,"elliptical",3.26040042448976e-07,4.15203727229892e-07,6.48713787845294e-09,3.97968743735816e-06
139.131313131313,"elliptical",NA,NA,"1","elliptical",139.131313131313,"elliptical",2.64338054678502e-07,3.43866827566349e-07,4.99603849365237e-09,3.35400991658508e-06
141.090909090909,"elliptical",NA,NA,"1","elliptical",141.090909090909,"elliptical",2.14315592225284e-07,2.84679370615621e-07,3.84783380454562e-09,2.82665501601202e-06
143.050505050505,"elliptical",NA,NA,"1","elliptical",143.050505050505,"elliptical",1.73761526089323e-07,2.32952529726738e-07,2.96363210721278e-09,2.38217904958503e-06
145.010101010101,"elliptical",NA,NA,"1","elliptical",145.010101010101,"elliptical",1.40883354712692e-07,1.89594040652265e-07,2.28270248442061e-09,2.00756290562453e-06
146.969696969697,"elliptical",NA,NA,"1","elliptical",146.969696969697,"elliptical",1.14227949340935e-07,1.54285219712844e-07,1.75829180685596e-09,1.69183159663656e-06
148.929292929293,"elliptical",NA,NA,"1","elliptical",148.929292929293,"elliptical",9.26173017737524e-08,1.25536346049409e-07,1.35440580350643e-09,1.42573347492895e-06
150.888888888889,"elliptical",NA,NA,"1","elliptical",150.888888888889,"elliptical",7.50964353646469e-08,1.02132308934813e-07,1.04333186294897e-09,1.20146976211506e-06
152.848484848485,"elliptical",NA,NA,"1","elliptical",152.848484848485,"elliptical",6.08911772256391e-08,8.30822357875866e-08,8.03732539941948e-10,1.01246650544537e-06
154.808080808081,"elliptical",NA,NA,"1","elliptical",154.808080808081,"elliptical",4.93739251346812e-08,6.75783031308678e-08,6.19178203276547e-10,8.53182309483088e-07
156.767676767677,"elliptical",NA,NA,"1","elliptical",156.767676767677,"elliptical",4.00358958199429e-08,5.49620694138274e-08,4.7701761059479e-10,7.1894623379567e-07
158.727272727273,"elliptical",NA,NA,"1","elliptical",158.727272727273,"elliptical",3.23928611516393e-08,4.45872791481897e-08,3.67508539400023e-10,6.0582112631473e-07
160.686868686869,"elliptical",NA,NA,"1","elliptical",160.686868686869,"elliptical",2.61343114379148e-08,3.6053915932419e-08,2.83148559392335e-10,5.10488403354869e-07
162.646464646465,"elliptical",NA,NA,"1","elliptical",162.646464646465,"elliptical",2.1084479040185e-08,2.91509424914477e-08,2.1815984392935e-10,4.30150912510839e-07
164.606060606061,"elliptical",NA,NA,"1","elliptical",164.606060606061,"elliptical",1.70100261408338e-08,2.3567460253785e-08,1.68092544576086e-10,3.62451041947139e-07
166.565656565657,"elliptical",NA,NA,"1","elliptical",166.565656565657,"elliptical",1.37348562587025e-08,1.91290302268552e-08,1.29519428005338e-10,3.05401684280559e-07
